pr_id,legislature,president,party,start_date,end_date,mp_id
PRNA11,11,Laurent Fabius,PS,1997-06-12,2000-03-27,PA1268
PRNA11,11,Raymond Forni,PS,2000-03-29,2002-06-18,PA1328
PRNA12,12,Jean-Louis Debré,UMP,2002-06-25,2007-03-04,PA1022
PRNA12,12,Patrick Ollier,UMP,2007-03-07,2007-06-19,PA2295
PRNA13,13,Bernard Accoyer,UMP,2007-06-26,2012-06-19,PA230
PRNA14,14,Claude Bartolone,PS,2012-06-26,2017-06-20,PA381
PRNA15,15,François de Rugy,LREM,2017-06-27,2018-09-04,PA332747
PRNA15,15,Richard Ferrand,LREM,2018-09-12,2022-06-21,PA606171
PRNA16,16,Yaël Braun-Pivet,Renaissance,2022-06-28,2024-06-09,PA721908
PRNA17,17,Yaël Braun-Pivet,Renaissance / Ensemble,2024-07-18,,PA721908
