major_topic_order,major_topic,subtopic
1,QUESTIONS AU GOUVERNEMENT,
1,QUESTIONS AU GOUVERNEMENT,FUSIONS DANS LE SECTEUR PHARMACEUTIQUE
1,QUESTIONS AU GOUVERNEMENT,RE ´ FORME DE L'AUDIOVISUEL
1,QUESTIONS AU GOUVERNEMENT,ARTICLE ANTISÉMITE D'UN HAUT MAGISTRAT
1,QUESTIONS AU GOUVERNEMENT,PRESTATIONS SOCIALES
1,QUESTIONS AU GOUVERNEMENT,RÉFORME DE LA JUSTICE
1,QUESTIONS AU GOUVERNEMENT,SOMMET FRANCO-ALLEMAND
1,QUESTIONS AU GOUVERNEMENT,POLITIQUE DE LA VILLE ET SÉCURITÉ
1,QUESTIONS AU GOUVERNEMENT,SITUATION AUX COMORES
1,QUESTIONS AU GOUVERNEMENT,CONJONCTURE ÉCONOMIQUE
1,QUESTIONS AU GOUVERNEMENT,RÉFORME DE L'AUDIOVISUEL
1,QUESTIONS AU GOUVERNEMENT,DISCIPLINE À L'ÉCOLE
1,QUESTIONS AU GOUVERNEMENT,BOGUE DE L'AN 2000
2,RAPPELS AU RÈGLEMENT,
3,PACTE CIVIL DE SOLIDARITÉ,
3,PACTE CIVIL DE SOLIDARITÉ,"\"""" APRÈS L'ARTICLE 515-8 DU CODE CIVIL"
3,PACTE CIVIL DE SOLIDARITÉ,"\"""" TITRE XIII \"""" \"""" DU CONCUBINAGE"
3,PACTE CIVIL DE SOLIDARITÉ,FRACTION DE LA PART NETTE TAXABLE TARIF APPLICABLE
4,FAIT PERSONNEL,
4,FAIT PERSONNEL,) 5 ORDRE DU JOUR DE LA PROCHAINE SÉANCE
5,PACTE CIVIL DE SOLIDARITÉ,
5,PACTE CIVIL DE SOLIDARITÉ,FRACTION DE PART NETTE TAXABLE TARIF APPLICABLE
5,PACTE CIVIL DE SOLIDARITÉ,"APPLICATION DE L'ARTICLE 44, ALINÉA 2, DE LA CONSTITUTION"
6,MODIFICATION DE L'ORDRE DU JOUR,
7,DÉPÔT DE PROJETS DE LOI,
8,DÉPÔT DE RAPPORTS,
9,DÉPÔT D'UN RAPPORT SUR UNE PROPOSITION DE RÉSOLUTION,
10,DÉPÔT D'UN AVIS,
11,DÉPÔT D'UN PROJET DE LOIMODIFIÉ PAR LE SÉNAT,
12,ORDRE DU JOUR DES PROCHAINES SÉANCES,
